Location,Latitude,Longitude,Type
Microsoft Times Square, 40.756811748892126, -73.98957414231597,Conference Centre
"Times Sq. and 42 St.",40.756698,-73.9923207,Public Transport
RockefellerCenter,Landmark,40.756698,-73.9923207,LandMark
Whitney Museum of American Art,40.7399624,-74.0099589,Museum
14 St %2F 8 Av,40.7399624,-74.0099589,Public Transport
Pier 54,40.7399624,-74.0099589,Landmark
Madison Square Garden,40.751309,-73.9970956,Landmark
Kobrick Coffee Co.,40.7399093,-74.0069469,Cafe
High Line (Southern Terminus), 40.73946015457555, -74.00818606335316,Landmark
Birdland Jazz Club,40.749991,-74.0079507,Music Venue
